TypeOfDewelling,BldgType,AbvGrndLivArea,Neighborhood,KitchenQual,NumGarageCars,YearBuilt,YearRemodAdd,ExterQual,LotArea,LotShape,Fireplaces,NumBathroom,Basement1Type,Basement1SurfaceArea,Basement2Type,Basement2SurfaceArea,TotalBasementArea,GarageArea,1stFlrArea,2ndFlrArea,Utilities,OverallQual,SalePrice
2-STORY 1946 & NEWER,OneFam,1710,CollgCr,Good,2,2003,2003,Good,8450,Regular,0,2,GoodLivingQuarters,706,Unfinshed,0,856,548,856,854,AllUtilitiesAvl,7,208500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1262,Veenker,Average,2,1976,1976,Average,9600,Regular,1,2,AverageLivingQuarters,978,Unfinshed,0,1262,460,1262,0,AllUtilitiesAvl,6,181500
2-STORY 1946 & NEWER,OneFam,1786,CollgCr,Good,2,2001,2002,Good,11250,SlightlyIrregular,1,2,GoodLivingQuarters,486,Unfinshed,0,920,608,920,866,AllUtilitiesAvl,7,223500
2-STORY 1945 & OLDER,OneFam,1717,Crawfor,Good,3,1915,1970,Average,9550,SlightlyIrregular,1,1,AverageLivingQuarters,216,Unfinshed,0,756,642,961,756,AllUtilitiesAvl,7,140000
2-STORY 1946 & NEWER,OneFam,2198,NoRidge,Good,3,2000,2000,Good,14260,SlightlyIrregular,1,2,GoodLivingQuarters,655,Unfinshed,0,1145,836,1145,1053,AllUtilitiesAvl,8,250000
1-1/2 STORY FINISHED ALL AGES,OneFam,1362,Mitchel,Average,2,1993,1995,Average,14115,SlightlyIrregular,0,1,GoodLivingQuarters,732,Unfinshed,0,796,480,796,566,AllUtilitiesAvl,5,143000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1694,Somerst,Good,2,2004,2005,Good,10084,Regular,1,2,GoodLivingQuarters,1369,Unfinshed,0,1686,636,1694,0,AllUtilitiesAvl,8,307000
2-STORY 1946 & NEWER,OneFam,2090,NWAmes,Average,2,1973,1973,Average,10382,SlightlyIrregular,2,2,AverageLivingQuarters,859,BelowAverageLivingQuarters,32,1107,484,1107,983,AllUtilitiesAvl,7,200000
1-1/2 STORY FINISHED ALL AGES,OneFam,1774,OldTown,Average,2,1931,1950,Average,6120,Regular,2,2,Unfinshed,0,Unfinshed,0,952,468,1022,752,AllUtilitiesAvl,7,129900
2 FAMILY CONVERSION - ALL STYLES AND AGES,2fmCon,1077,BrkSide,Average,1,1939,1950,Average,7420,Regular,2,1,GoodLivingQuarters,851,Unfinshed,0,991,205,1077,0,AllUtilitiesAvl,5,118000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1040,Sawyer,Average,1,1965,1965,Average,11200,Regular,0,1,AverageRecRoom,906,Unfinshed,0,1040,384,1040,0,AllUtilitiesAvl,5,129500
2-STORY 1946 & NEWER,OneFam,2324,NridgHt,Excellent,3,2005,2006,Excellent,11924,SlightlyIrregular,2,3,GoodLivingQuarters,998,Unfinshed,0,1175,736,1182,1142,AllUtilitiesAvl,9,345000
1-STORY 1946 & NEWER ALL STYLES,OneFam,912,Sawyer,Average,1,1962,1962,Average,12968,ModeratelyIrregular,0,1,AverageLivingQuarters,737,Unfinshed,0,912,352,912,0,AllUtilitiesAvl,5,144000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1494,CollgCr,Good,3,2006,2007,Good,10652,SlightlyIrregular,1,2,Unfinshed,0,Unfinshed,0,1494,840,1494,0,AllUtilitiesAvl,7,279500
1-STORY 1946 & NEWER ALL STYLES,OneFam,1253,NAmes,Average,1,1960,1960,Average,10920,SlightlyIrregular,1,1,BelowAverageLivingQuarters,733,Unfinshed,0,1253,352,1253,0,AllUtilitiesAvl,6,157000
1-1/2 STORY - UNFINISHED ALL AGES,OneFam,854,BrkSide,Average,2,1929,2001,Average,6120,Regular,0,1,Unfinshed,0,Unfinshed,0,832,576,854,0,AllUtilitiesAvl,7,132000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1004,NAmes,Average,2,1970,1970,Average,11241,SlightlyIrregular,1,1,AverageLivingQuarters,578,Unfinshed,0,1004,480,1004,0,AllUtilitiesAvl,6,149000
DUPLEX - ALL STYLES AND AGES,Duplex,1296,Sawyer,Average,2,1967,1967,Average,10791,Regular,0,2,,0,,0,0,516,1296,0,AllUtilitiesAvl,4,90000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1114,SawyerW,Good,2,2004,2004,Average,13695,Regular,0,1,GoodLivingQuarters,646,Unfinshed,0,1114,576,1114,0,AllUtilitiesAvl,5,159000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1339,NAmes,Average,1,1958,1965,Average,7560,Regular,0,1,LowQuality,504,Unfinshed,0,1029,294,1339,0,AllUtilitiesAvl,5,139000
2-STORY 1946 & NEWER,OneFam,2376,NridgHt,Good,3,2005,2006,Good,14215,SlightlyIrregular,1,3,Unfinshed,0,Unfinshed,0,1158,853,1158,1218,AllUtilitiesAvl,8,325300
1-1/2 STORY - UNFINISHED ALL AGES,OneFam,1108,IDOTRR,Good,1,1930,1950,Average,7449,Regular,1,1,Unfinshed,0,Unfinshed,0,637,280,1108,0,AllUtilitiesAvl,7,139400
1-STORY 1946 & NEWER ALL STYLES,OneFam,1795,CollgCr,Good,2,2002,2002,Good,9742,Regular,1,2,Unfinshed,0,Unfinshed,0,1777,534,1795,0,AllUtilitiesAvl,8,230000
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1060,MeadowV,Average,2,1976,1976,Average,4224,Regular,1,1,GoodLivingQuarters,840,Unfinshed,0,1040,572,1060,0,AllUtilitiesAvl,5,129900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1060,Sawyer,Good,1,1968,2001,Average,8246,SlightlyIrregular,1,1,AverageRecRoom,188,AverageLivingQuarters,668,1060,270,1060,0,AllUtilitiesAvl,5,154000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1600,NridgHt,Good,3,2007,2007,Good,14230,Regular,1,2,Unfinshed,0,Unfinshed,0,1566,890,1600,0,AllUtilitiesAvl,8,256300
1-STORY 1946 & NEWER ALL STYLES,OneFam,900,NAmes,Good,2,1951,2000,Average,7200,Regular,0,1,BelowAverageLivingQuarters,234,AverageRecRoom,486,900,576,900,0,AllUtilitiesAvl,5,134800
1-STORY 1946 & NEWER ALL STYLES,OneFam,1704,NridgHt,Good,3,2007,2008,Good,11478,Regular,1,2,GoodLivingQuarters,1218,Unfinshed,0,1704,772,1704,0,AllUtilitiesAvl,8,306000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1600,NAmes,Average,1,1957,1997,Average,16321,SlightlyIrregular,2,1,BelowAverageLivingQuarters,1277,Unfinshed,0,1484,319,1600,0,AllUtilitiesAvl,5,207500
1-STORY 1945 & OLDER,OneFam,520,BrkSide,Fair,1,1927,1950,Average,6324,SlightlyIrregular,0,1,Unfinshed,0,Unfinshed,0,520,240,520,0,AllUtilitiesAvl,4,68500
2-STORY 1945 & OLDER,OneFam,1317,IDOTRR,Average,1,1920,1950,Average,8500,Regular,0,1,Unfinshed,0,Unfinshed,0,649,250,649,668,AllUtilitiesAvl,4,40000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1228,Sawyer,Good,1,1966,2006,Average,8544,SlightlyIrregular,0,1,Unfinshed,0,Unfinshed,0,1228,271,1228,0,AllUtilitiesAvl,5,149350
1-STORY 1946 & NEWER ALL STYLES,OneFam,1234,CollgCr,Good,2,2007,2007,Good,11049,Regular,0,2,Unfinshed,0,Unfinshed,0,1234,484,1234,0,AllUtilitiesAvl,8,179900
1-STORY 1946 & NEWER ALL STYLES,OneFam,1700,NAmes,Good,2,1959,1959,Average,10552,SlightlyIrregular,1,1,AverageRecRoom,1018,Unfinshed,0,1398,447,1700,0,AllUtilitiesAvl,5,165500
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,TownhouseEndUnit,1561,NridgHt,Excellent,2,2005,2005,Excellent,7313,Regular,1,2,GoodLivingQuarters,1153,Unfinshed,0,1561,556,1561,0,AllUtilitiesAvl,9,277500
2-STORY 1946 & NEWER,OneFam,2452,NridgHt,Good,3,2004,2005,Good,13418,Regular,1,3,Unfinshed,0,Unfinshed,0,1117,691,1132,1320,AllUtilitiesAvl,8,309000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1097,CollgCr,Average,2,1994,1995,Average,10859,Regular,0,1,Unfinshed,0,Unfinshed,0,1097,672,1097,0,AllUtilitiesAvl,5,145000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1297,NAmes,Average,2,1954,1990,Average,8532,Regular,1,1,AverageRecRoom,1213,Unfinshed,0,1297,498,1297,0,AllUtilitiesAvl,5,153000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1057,NAmes,Good,1,1953,2007,Average,7922,Regular,0,1,GoodLivingQuarters,731,Unfinshed,0,1057,246,1057,0,AllUtilitiesAvl,5,109000
DUPLEX - ALL STYLES AND AGES,Duplex,1152,Edwards,Fair,0,1955,1955,Average,6040,Regular,0,2,,0,,0,0,0,1152,0,AllUtilitiesAvl,4,82000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1324,NAmes,Average,2,1965,1965,Average,8658,Regular,1,2,AverageRecRoom,643,Unfinshed,0,1088,440,1324,0,AllUtilitiesAvl,6,160000
1-STORY 1946 & NEWER ALL STYLES,OneFam,1328,Timber,Average,1,1959,1959,Average,16905,Regular,2,1,BelowAverageLivingQuarters,967,Unfinshed,0,1350,308,1328,0,AllUtilitiesAvl,5,170000
SPLIT FOYER,OneFam,884,SawyerW,Good,2,1983,1983,Average,9180,SlightlyIrregular,0,1,AverageLivingQuarters,747,LowQuality,93,840,504,884,0,AllUtilitiesAvl,5,144000
